,index,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Week,Day
129,128,1/1/2007,2:08:00,2.502,0,242.94,10.2,0,0,0,Week1,Day1
130,129,1/1/2007,2:09:00,2.514,0,243.57,10.2,0,0,0,Week1,Day1
131,130,1/1/2007,2:10:00,2.508,0,243.28,10.2,0,0,0,Week1,Day1
132,131,1/1/2007,2:11:00,2.52,0,243.91,10.2,0,0,0,Week1,Day1
133,132,1/1/2007,2:12:00,2.518,0,243.76,10.2,0,0,0,Week1,Day1
134,133,1/1/2007,2:13:00,2.518,0,243.81,10.2,0,0,0,Week1,Day1
135,134,1/1/2007,2:14:00,2.514,0,243.57,10.2,0,0,0,Week1,Day1
136,135,1/1/2007,2:15:00,2.54,0,243.32,10.4,0,0,0,Week1,Day1
137,136,1/1/2007,2:16:00,2.608,0.134,242.76,10.6,0,0,0,Week1,Day1
138,137,1/1/2007,2:17:00,2.622,0.14,243.66,10.6,0,0,0,Week1,Day1
139,138,1/1/2007,2:18:00,2.618,0.138,243.64,10.6,0,0,0,Week1,Day1
140,139,1/1/2007,2:19:00,2.618,0.138,243.72,10.6,0,0,0,Week1,Day1
141,140,1/1/2007,2:20:00,2.624,0.142,244.15,10.6,0,0,0,Week1,Day1
142,141,1/1/2007,2:21:00,2.632,0.144,244.6,10.6,0,0,0,Week1,Day1
143,142,1/1/2007,2:22:00,2.63,0.144,244.5,10.6,0,0,0,Week1,Day1
144,143,1/1/2007,2:23:00,2.622,0.142,244.22,10.6,0,0,0,Week1,Day1
145,144,1/1/2007,2:24:00,2.614,0.14,243.88,10.6,0,0,0,Week1,Day1
146,145,1/1/2007,2:25:00,2.596,0.136,242.97,10.6,0,0,0,Week1,Day1
147,146,1/1/2007,2:26:00,2.598,0.136,243.07,10.6,0,0,0,Week1,Day1
148,147,1/1/2007,2:27:00,2.584,0.132,242.45,10.6,0,0,0,Week1,Day1
149,148,1/1/2007,2:28:00,2.592,0.134,242.84,10.6,0,0,0,Week1,Day1
150,149,1/1/2007,2:29:00,2.568,0.086,243.33,10.4,0,0,0,Week1,Day1
151,150,1/1/2007,2:30:00,2.514,0,243.63,10.2,0,0,0,Week1,Day1
152,151,1/1/2007,2:31:00,2.518,0,243.79,10.2,0,0,0,Week1,Day1
153,152,1/1/2007,2:32:00,2.518,0,243.81,10.2,0,0,0,Week1,Day1
154,153,1/1/2007,2:33:00,2.522,0,244,10.2,0,0,0,Week1,Day1
155,154,1/1/2007,2:34:00,2.532,0,244.5,10.2,0,0,0,Week1,Day1
156,155,1/1/2007,2:35:00,2.542,0,244.99,10.2,0,0,0,Week1,Day1
157,156,1/1/2007,2:36:00,2.532,0,244.47,10.2,0,0,0,Week1,Day1
158,157,1/1/2007,2:37:00,2.504,0,242.98,10.2,0,0,0,Week1,Day1
159,158,1/1/2007,2:38:00,2.498,0,242.78,10.2,0,0,0,Week1,Day1
160,159,1/1/2007,2:39:00,2.5,0,242.86,10.2,0,0,0,Week1,Day1
161,160,1/1/2007,2:40:00,2.57,0.084,242.49,10.6,0,0,0,Week1,Day1
162,161,1/1/2007,2:41:00,2.568,0.104,242.6,10.6,0,0,0,Week1,Day1
163,162,1/1/2007,2:42:00,2.576,0.104,242.96,10.6,0,0,0,Week1,Day1
164,163,1/1/2007,2:43:00,2.574,0.104,242.85,10.6,0,0,0,Week1,Day1
165,164,1/1/2007,2:44:00,2.614,0.15,242.46,10.8,0,0,0,Week1,Day1
166,165,1/1/2007,2:45:00,2.654,0.23,242.87,10.8,0,1,0,Week1,Day1
167,166,1/1/2007,2:46:00,2.67,0.234,243.73,11,0,1,0,Week1,Day1
168,167,1/1/2007,2:47:00,2.666,0.236,243.71,11,0,2,0,Week1,Day1
169,168,1/1/2007,2:48:00,2.624,0.18,243.2,10.8,0,1,0,Week1,Day1
170,169,1/1/2007,2:49:00,2.58,0.122,242.69,10.6,0,2,0,Week1,Day1
171,170,1/1/2007,2:50:00,2.586,0.124,243.02,10.6,0,1,0,Week1,Day1
172,171,1/1/2007,2:51:00,2.592,0.126,243.29,10.6,0,1,0,Week1,Day1
173,172,1/1/2007,2:52:00,2.588,0.124,243.1,10.6,0,2,0,Week1,Day1
174,173,1/1/2007,2:53:00,2.692,0.242,243.15,11,0,1,0,Week1,Day1
175,174,1/1/2007,2:54:00,2.696,0.264,243.15,11,0,2,0,Week1,Day1
176,175,1/1/2007,2:55:00,2.69,0.262,243.11,11,0,1,0,Week1,Day1
177,176,1/1/2007,2:56:00,2.694,0.264,243.46,11,0,1,0,Week1,Day1
178,177,1/1/2007,2:57:00,2.68,0.26,242.82,11,0,2,0,Week1,Day1
179,178,1/1/2007,2:58:00,2.666,0.256,242.23,11,0,1,0,Week1,Day1
180,179,1/1/2007,2:59:00,2.654,0.254,241.74,11,0,1,0,Week1,Day1
181,180,1/1/2007,3:00:00,2.648,0.254,241.63,11,0,2,0,Week1,Day1
182,181,1/1/2007,3:01:00,2.666,0.26,242.65,11,0,1,0,Week1,Day1
183,182,1/1/2007,3:02:00,2.672,0.262,242.96,11,0,1,0,Week1,Day1
184,183,1/1/2007,3:03:00,2.67,0.262,242.97,11,0,1,0,Week1,Day1
185,184,1/1/2007,3:04:00,2.672,0.262,243.18,11,0,2,0,Week1,Day1
186,185,1/1/2007,3:05:00,2.666,0.262,242.91,11,0,1,0,Week1,Day1
187,186,1/1/2007,3:06:00,2.662,0.246,243.29,11,0,1,0,Week1,Day1
188,187,1/1/2007,3:07:00,2.58,0.126,243.28,10.6,0,1,0,Week1,Day1
189,188,1/1/2007,3:08:00,2.57,0.122,242.8,10.6,0,2,0,Week1,Day1
190,189,1/1/2007,3:09:00,2.57,0.122,242.81,10.6,0,1,0,Week1,Day1
191,190,1/1/2007,3:10:00,2.568,0.122,242.72,10.6,0,1,0,Week1,Day1
192,191,1/1/2007,3:11:00,2.58,0.126,243.34,10.6,0,1,0,Week1,Day1
193,192,1/1/2007,3:12:00,2.558,0.07,243.87,10.4,0,1,0,Week1,Day1
194,193,1/1/2007,3:13:00,2.522,0,244.02,10.2,0,0,0,Week1,Day1
195,194,1/1/2007,3:14:00,2.52,0,243.85,10.2,0,0,0,Week1,Day1
196,195,1/1/2007,3:15:00,2.506,0,243.2,10.2,0,0,0,Week1,Day1
197,196,1/1/2007,3:16:00,2.532,0,242.76,10.4,0,0,0,Week1,Day1
198,197,1/1/2007,3:17:00,2.55,0,242.82,10.4,0,0,0,Week1,Day1
199,198,1/1/2007,3:18:00,2.54,0,243.04,10.4,0,0,0,Week1,Day1
200,199,1/1/2007,3:19:00,2.764,0,242.39,11.4,0,0,0,Week1,Day1
201,200,1/1/2007,3:20:00,2.7,0,243,11,0,0,0,Week1,Day1
202,201,1/1/2007,3:21:00,2.8,0.114,243.66,11.4,0,0,0,Week1,Day1
203,202,1/1/2007,3:22:00,2.54,0.118,244.16,10.4,0,0,0,Week1,Day1
204,203,1/1/2007,3:23:00,2.548,0.12,244.56,10.4,0,0,0,Week1,Day1
205,204,1/1/2007,3:24:00,2.554,0.122,244.86,10.4,0,0,0,Week1,Day1
206,205,1/1/2007,3:25:00,2.558,0.122,245.07,10.4,0,0,0,Week1,Day1
207,206,1/1/2007,3:26:00,2.542,0.12,244.39,10.4,0,0,0,Week1,Day1
208,207,1/1/2007,3:27:00,2.536,0.118,244.06,10.4,0,0,0,Week1,Day1
209,208,1/1/2007,3:28:00,2.534,0.118,244.01,10.4,0,0,0,Week1,Day1
210,209,1/1/2007,3:29:00,2.468,0,243.43,10,0,0,0,Week1,Day1
211,210,1/1/2007,3:30:00,2.522,0.088,243.08,10.4,0,0,0,Week1,Day1
212,211,1/1/2007,3:31:00,2.556,0.144,243.12,10.4,0,0,0,Week1,Day1
213,212,1/1/2007,3:32:00,2.536,0.14,242.36,10.4,0,0,0,Week1,Day1
214,213,1/1/2007,3:33:00,2.532,0.14,242.17,10.4,0,0,0,Week1,Day1
215,214,1/1/2007,3:34:00,2.536,0.142,242.55,10.4,0,0,0,Week1,Day1
216,215,1/1/2007,3:35:00,2.534,0.142,242.57,10.4,0,0,0,Week1,Day1
217,216,1/1/2007,3:36:00,2.538,0.144,242.78,10.4,0,0,0,Week1,Day1
218,217,1/1/2007,3:37:00,2.538,0.144,242.89,10.4,0,0,0,Week1,Day1
219,218,1/1/2007,3:38:00,2.54,0.144,243,10.4,0,0,0,Week1,Day1
220,219,1/1/2007,3:39:00,2.54,0.144,243.07,10.4,0,0,0,Week1,Day1
221,220,1/1/2007,3:40:00,2.546,0.146,243.43,10.4,0,0,0,Week1,Day1
222,221,1/1/2007,3:41:00,2.55,0.148,243.66,10.4,0,0,0,Week1,Day1
223,222,1/1/2007,3:42:00,2.542,0.146,243.25,10.4,0,0,0,Week1,Day1
224,223,1/1/2007,3:43:00,2.544,0.146,243.39,10.4,0,0,0,Week1,Day1
225,224,1/1/2007,3:44:00,2.466,0,243.8,10,0,0,0,Week1,Day1
226,225,1/1/2007,3:45:00,2.45,0,243.29,10,0,0,0,Week1,Day1
227,226,1/1/2007,3:46:00,2.446,0,243.18,10,0,0,0,Week1,Day1
228,227,1/1/2007,3:47:00,2.456,0,243.63,10,0,0,0,Week1,Day1
229,228,1/1/2007,3:48:00,2.46,0,243.77,10,0,0,0,Week1,Day1
230,229,1/1/2007,3:49:00,2.448,0,243.18,10,0,0,0,Week1,Day1
231,230,1/1/2007,3:50:00,2.458,0,243.66,10,0,0,0,Week1,Day1
232,231,1/1/2007,3:51:00,2.456,0,243.61,10,0,0,0,Week1,Day1
233,232,1/1/2007,3:52:00,2.452,0,243.44,10,0,0,0,Week1,Day1
234,233,1/1/2007,3:53:00,2.448,0,243.18,10,0,0,0,Week1,Day1
235,234,1/1/2007,3:54:00,2.45,0,243.18,10,0,0,0,Week1,Day1
236,235,1/1/2007,3:55:00,2.45,0,243.21,10,0,0,0,Week1,Day1
237,236,1/1/2007,3:56:00,2.456,0,243.49,10,0,0,0,Week1,Day1
238,237,1/1/2007,3:57:00,2.43,0,243.19,10,0,0,0,Week1,Day1
239,238,1/1/2007,3:58:00,2.42,0,242.99,9.8,0,0,0,Week1,Day1
240,239,1/1/2007,3:59:00,2.404,0,242.13,9.8,0,0,0,Week1,Day1
241,240,1/1/2007,4:00:00,2.4,0,241.96,9.8,0,0,0,Week1,Day1
242,241,1/1/2007,4:01:00,2.416,0,241.47,10,0,0,0,Week1,Day1
243,242,1/1/2007,4:02:00,2.476,0.102,241.91,10.2,0,0,0,Week1,Day1
244,243,1/1/2007,4:03:00,2.474,0.102,241.91,10.2,0,0,0,Week1,Day1
245,244,1/1/2007,4:04:00,2.482,0.104,242.2,10.2,0,0,0,Week1,Day1
246,245,1/1/2007,4:05:00,2.484,0.104,242.38,10.2,0,0,0,Week1,Day1
247,246,1/1/2007,4:06:00,2.474,0.102,241.96,10.2,0,0,0,Week1,Day1
248,247,1/1/2007,4:07:00,2.474,0.102,242,10.2,0,0,0,Week1,Day1
249,248,1/1/2007,4:08:00,2.58,0.232,241.31,10.6,0,0,0,Week1,Day1
250,249,1/1/2007,4:09:00,2.574,0.224,242.23,10.6,0,0,0,Week1,Day1
251,250,1/1/2007,4:10:00,2.518,0.136,242.68,10.4,0,0,0,Week1,Day1
252,251,1/1/2007,4:11:00,2.522,0.138,242.99,10.4,0,0,0,Week1,Day1
253,252,1/1/2007,4:12:00,2.498,0.132,241.8,10.2,0,0,0,Week1,Day1
254,253,1/1/2007,4:13:00,2.496,0.132,241.82,10.2,0,0,0,Week1,Day1
255,254,1/1/2007,4:14:00,2.496,0.132,241.89,10.2,0,0,0,Week1,Day1
256,255,1/1/2007,4:15:00,2.486,0.13,241.44,10.2,0,0,0,Week1,Day1
257,256,1/1/2007,4:16:00,2.488,0.13,241.57,10.2,0,0,0,Week1,Day1
258,257,1/1/2007,4:17:00,2.48,0.128,241.15,10.2,0,0,0,Week1,Day1
259,258,1/1/2007,4:18:00,2.488,0.132,241.67,10.2,0,0,0,Week1,Day1
260,259,1/1/2007,4:19:00,2.49,0.132,241.78,10.2,0,0,0,Week1,Day1
261,260,1/1/2007,4:20:00,2.484,0.13,241.53,10.2,0,0,0,Week1,Day1
262,261,1/1/2007,4:21:00,2.464,0.104,241.34,10.2,0,0,0,Week1,Day1
263,262,1/1/2007,4:22:00,2.398,0,241.79,9.8,0,0,0,Week1,Day1
264,263,1/1/2007,4:23:00,2.392,0,241.48,9.8,0,0,0,Week1,Day1
265,264,1/1/2007,4:24:00,2.406,0,242.25,9.8,0,0,0,Week1,Day1
266,265,1/1/2007,4:25:00,2.398,0,241.76,9.8,0,0,0,Week1,Day1
267,266,1/1/2007,4:26:00,2.398,0,241.83,9.8,0,0,0,Week1,Day1
268,267,1/1/2007,4:27:00,2.398,0,240.61,9.8,0,0,0,Week1,Day1
269,268,1/1/2007,4:28:00,2.402,0,240.97,9.8,0,0,0,Week1,Day1
270,269,1/1/2007,4:29:00,2.406,0,242,9.8,0,0,0,Week1,Day1
271,270,1/1/2007,4:30:00,2.412,0,242.56,9.8,0,0,0,Week1,Day1
272,271,1/1/2007,4:31:00,2.42,0,243.02,9.8,0,0,0,Week1,Day1
273,272,1/1/2007,4:32:00,2.418,0,242.87,9.8,0,0,0,Week1,Day1
274,273,1/1/2007,4:33:00,2.422,0,243.13,9.8,0,0,0,Week1,Day1
275,274,1/1/2007,4:34:00,2.418,0,242.87,9.8,0,0,0,Week1,Day1
276,275,1/1/2007,4:35:00,2.416,0,242.76,9.8,0,0,0,Week1,Day1
277,276,1/1/2007,4:36:00,2.42,0,243.04,9.8,0,0,0,Week1,Day1
278,277,1/1/2007,4:37:00,2.424,0,243.24,9.8,0,0,0,Week1,Day1
279,278,1/1/2007,4:38:00,2.43,0,243.5,9.8,0,0,0,Week1,Day1
280,279,1/1/2007,4:39:00,2.434,0,243.81,10,0,0,0,Week1,Day1
281,280,1/1/2007,4:40:00,2.436,0,243.83,10,0,0,0,Week1,Day1
282,281,1/1/2007,4:41:00,2.43,0,243.59,9.8,0,0,0,Week1,Day1
283,282,1/1/2007,4:42:00,2.468,0,243.21,10,0,0,0,Week1,Day1
284,283,1/1/2007,4:43:00,2.516,0.112,244.19,10.2,0,0,0,Week1,Day1
285,284,1/1/2007,4:44:00,2.508,0.11,243.81,10.2,0,0,0,Week1,Day1
286,285,1/1/2007,4:45:00,2.548,0.158,243.09,10.4,0,0,0,Week1,Day1
287,286,1/1/2007,4:46:00,2.6,0.244,242.9,10.6,0,0,0,Week1,Day1
288,287,1/1/2007,4:47:00,2.592,0.242,242.73,10.6,0,0,0,Week1,Day1
289,288,1/1/2007,4:48:00,2.598,0.246,243.21,10.6,0,0,0,Week1,Day1
290,289,1/1/2007,4:49:00,2.58,0.24,242.48,10.6,0,0,0,Week1,Day1
291,290,1/1/2007,4:50:00,2.55,0.204,242.25,10.4,0,0,0,Week1,Day1
292,291,1/1/2007,4:51:00,2.508,0.136,242.51,10.2,0,0,0,Week1,Day1
293,292,1/1/2007,4:52:00,2.516,0.138,242.99,10.2,0,0,0,Week1,Day1
294,293,1/1/2007,4:53:00,2.512,0.138,242.83,10.2,0,0,0,Week1,Day1
295,294,1/1/2007,4:54:00,2.508,0.136,242.71,10.2,0,0,0,Week1,Day1
296,295,1/1/2007,4:55:00,2.508,0.138,242.72,10.2,0,0,0,Week1,Day1
297,296,1/1/2007,4:56:00,2.51,0.138,242.89,10.2,0,0,0,Week1,Day1
298,297,1/1/2007,4:57:00,2.516,0.14,243.2,10.2,0,0,0,Week1,Day1
299,298,1/1/2007,4:58:00,2.524,0.142,243.69,10.2,0,0,0,Week1,Day1
300,299,1/1/2007,4:59:00,2.46,0,244.06,10,0,0,0,Week1,Day1
301,300,1/1/2007,5:00:00,2.436,0,243.85,10,0,0,0,Week1,Day1
302,301,1/1/2007,5:01:00,2.434,0,243.71,10,0,0,0,Week1,Day1
