id,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Week,Day
26,1/1/2007,0:25:00,2.66,0.252,241.6,11,2.474,2.446,2.522,Week1,Day1
27,1/1/2007,0:26:00,2.65,0.25,241.14,11,2.47,2.452,2.526,Week1,Day1
28,1/1/2007,0:27:00,2.654,0.25,241.38,11,2.56,2.452,2.532,Week1,Day1
29,1/1/2007,0:28:00,2.642,0.248,240.9,11,2.552,2.452,2.528,Week1,Day1
30,1/1/2007,0:29:00,2.644,0.25,241.15,11,2.564,2.444,2.51,Week1,Day1
31,1/1/2007,0:30:00,2.648,0.252,241.32,11,2.558,2.444,2.474,Week1,Day1
32,1/1/2007,0:31:00,2.646,0.252,241.35,11,2.56,2.462,2.462,Week1,Day1
33,1/1/2007,0:32:00,2.644,0.252,241.38,11,2.576,2.51,2.46,Week1,Day1
34,1/1/2007,0:33:00,2.656,0.256,242.03,11,2.57,2.546,2.448,Week1,Day1
35,1/1/2007,0:34:00,2.65,0.254,241.86,11,2.56,2.548,2.374,Week1,Day1
36,1/1/2007,0:35:00,2.642,0.252,241.47,11,2.566,2.548,2.38,Week1,Day1
37,1/1/2007,0:36:00,2.63,0.248,240.96,10.8,2.502,2.552,2.452,Week1,Day1
38,1/1/2007,0:37:00,2.606,0.214,240.94,10.8,2.482,2.544,2.454,Week1,Day1
39,1/1/2007,0:38:00,2.556,0.132,240.31,10.6,2.478,2.538,2.448,Week1,Day1
40,1/1/2007,0:39:00,2.602,0.216,240.46,10.8,2.482,2.548,2.45,Week1,Day1
41,1/1/2007,0:40:00,2.602,0.216,240.5,10.8,2.58,2.554,2.448,Week1,Day1
42,1/1/2007,0:41:00,2.594,0.214,240.08,10.8,2.564,2.552,2.45,Week1,Day1
43,1/1/2007,0:42:00,2.6,0.216,240.5,10.8,2.58,2.55,2.456,Week1,Day1
44,1/1/2007,0:43:00,2.602,0.216,240.65,10.8,2.572,2.548,2.444,Week1,Day1
45,1/1/2007,0:44:00,2.6,0.216,240.68,10.8,2.566,2.552,2.438,Week1,Day1
46,1/1/2007,0:45:00,2.598,0.216,240.69,10.8,2.57,2.548,2.372,Week1,Day1
47,1/1/2007,0:46:00,2.59,0.214,240.3,10.8,2.57,2.502,2.366,Week1,Day1
48,1/1/2007,0:47:00,2.554,0.148,240.85,10.6,2.566,2.466,2.362,Week1,Day1
49,1/1/2007,0:48:00,2.484,0,240.98,10.2,2.504,2.48,2.364,Week1,Day1
50,1/1/2007,0:49:00,2.472,0,241.4,10.2,2.474,2.474,2.376,Week1,Day1
51,1/1/2007,0:50:00,2.486,0,242.11,10.2,2.456,2.47,2.394,Week1,Day1
52,1/1/2007,0:51:00,2.486,0,242.12,10.2,2.448,2.464,2.392,Week1,Day1
53,1/1/2007,0:52:00,2.482,0,241.96,10.2,2.446,2.45,2.398,Week1,Day1
54,1/1/2007,0:53:00,2.484,0,241.98,10.2,2.452,2.496,2.4,Week1,Day1
55,1/1/2007,0:54:00,2.48,0,241.84,10.2,2.452,2.504,2.388,Week1,Day1
56,1/1/2007,0:55:00,2.458,0,240.63,10.2,2.452,2.54,2.4,Week1,Day1
57,1/1/2007,0:56:00,2.46,0,240.81,10.2,2.444,2.568,2.422,Week1,Day1
58,1/1/2007,0:57:00,2.462,0,240.82,10.2,2.444,2.566,2.49,Week1,Day1
59,1/1/2007,0:58:00,2.472,0,241.39,10.2,2.462,2.574,2.476,Week1,Day1
60,1/1/2007,0:59:00,2.466,0,241.09,10.2,2.51,2.582,2.48,Week1,Day1
61,1/1/2007,1:00:00,2.466,0,241.09,10.2,2.546,2.576,2.478,Week1,Day1
62,1/1/2007,1:01:00,2.59,0.118,241.79,10.6,2.548,2.556,2.488,Week1,Day1
63,1/1/2007,1:02:00,2.59,0.132,242.04,10.6,2.548,2.502,2.484,Week1,Day1
64,1/1/2007,1:03:00,2.576,0.128,241.43,10.6,2.552,2.514,2.492,Week1,Day1
65,1/1/2007,1:04:00,2.566,0.128,241.05,10.6,2.544,2.508,2.494,Week1,Day1
66,1/1/2007,1:05:00,2.564,0.126,240.98,10.6,2.538,2.52,2.484,Week1,Day1
67,1/1/2007,1:06:00,2.56,0.126,240.91,10.6,2.548,2.518,2.472,Week1,Day1
68,1/1/2007,1:07:00,2.552,0.124,240.58,10.6,2.554,2.518,2.466,Week1,Day1
69,1/1/2007,1:08:00,2.564,0.128,241.19,10.6,2.552,2.514,2.47,Week1,Day1
70,1/1/2007,1:09:00,2.558,0.126,240.99,10.6,2.55,2.54,2.476,Week1,Day1
71,1/1/2007,1:10:00,2.56,0.126,241.12,10.6,2.548,2.608,2.482,Week1,Day1
72,1/1/2007,1:11:00,2.576,0.132,241.95,10.6,2.552,2.622,2.436,Week1,Day1
73,1/1/2007,1:12:00,2.57,0.13,241.73,10.6,2.548,2.618,2.392,Week1,Day1
74,1/1/2007,1:13:00,2.56,0.128,241.24,10.6,2.502,2.618,2.388,Week1,Day1
75,1/1/2007,1:14:00,2.566,0.128,241.49,10.6,2.466,2.43,2.388,Week1,Day1
76,1/1/2007,1:15:00,2.502,0,242,10.2,2.48,2.476,2.394,Week1,Day1
77,1/1/2007,1:16:00,2.482,0,241.94,10.2,2.474,2.502,2.472,Week1,Day1
78,1/1/2007,1:17:00,2.478,0,241.79,10.2,2.47,2.508,2.474,Week1,Day1
79,1/1/2007,1:18:00,2.482,0,242,10.2,2.464,2.468,2.47,Week1,Day1
80,1/1/2007,1:19:00,2.58,0.102,242.37,10.6,2.45,2.44,2.454,Week1,Day1
81,1/1/2007,1:20:00,2.564,0.102,242.3,10.6,2.496,2.442,2.458,Week1,Day1
82,1/1/2007,1:21:00,2.58,0.106,243.15,10.6,2.504,2.45,2.458,Week1,Day1
83,1/1/2007,1:22:00,2.572,0.104,242.8,10.6,2.54,2.458,2.45,Week1,Day1
84,1/1/2007,1:23:00,2.566,0.102,242.53,10.6,2.568,2.468,2.454,Week1,Day1
85,1/1/2007,1:24:00,2.57,0.104,242.8,10.6,2.566,2.444,2.454,Week1,Day1
86,1/1/2007,1:25:00,2.57,0.104,242.82,10.6,2.574,2.444,2.394,Week1,Day1
87,1/1/2007,1:26:00,2.566,0.104,242.73,10.6,2.582,2.442,2.394,Week1,Day1
88,1/1/2007,1:27:00,2.504,0,241.47,10.2,2.576,2.448,2.384,Week1,Day1
89,1/1/2007,1:28:00,2.474,0,241.52,10.2,2.556,2.438,2.37,Week1,Day1
90,1/1/2007,1:29:00,2.456,0,240.56,10.2,2.502,2.432,2.368,Week1,Day1
91,1/1/2007,1:30:00,2.448,0,240.11,10.2,2.514,2.448,2.362,Week1,Day1
92,1/1/2007,1:31:00,2.446,0,240.03,10.2,2.508,2.446,2.364,Week1,Day1
93,1/1/2007,1:32:00,2.452,0,240.3,10.2,2.52,2.45,2.362,Week1,Day1
94,1/1/2007,1:33:00,2.452,0,240.37,10.2,2.518,2.53,2.364,Week1,Day1
95,1/1/2007,1:34:00,2.452,0,240.34,10.2,2.518,2.554,2.388,Week1,Day1
96,1/1/2007,1:35:00,2.444,0,239.95,10.2,2.514,2.536,2.456,Week1,Day1
97,1/1/2007,1:36:00,2.444,0,239.91,10.2,2.54,2.538,2.444,Week1,Day1
98,1/1/2007,1:37:00,2.462,0,240.89,10.2,2.608,2.536,2.45,Week1,Day1
99,1/1/2007,1:38:00,2.51,0.052,240.01,10.4,2.622,2.534,2.46,Week1,Day1
100,1/1/2007,1:39:00,2.546,0.12,239.63,10.6,2.618,2.522,2.468,Week1,Day1
101,1/1/2007,1:40:00,2.548,0.122,240,10.6,2.618,2.526,2.464,Week1,Day1
102,1/1/2007,1:41:00,2.548,0.122,240.04,10.6,2.47,2.532,2.464,Week1,Day1
103,1/1/2007,1:42:00,2.552,0.122,240.36,10.6,2.43,2.528,2.456,Week1,Day1
104,1/1/2007,1:43:00,2.544,0.12,239.96,10.6,2.476,2.51,2.44,Week1,Day1
105,1/1/2007,1:44:00,2.538,0.12,239.83,10.6,2.502,2.474,2.448,Week1,Day1
106,1/1/2007,1:45:00,2.548,0.122,240.42,10.6,2.508,2.462,2.46,Week1,Day1
107,1/1/2007,1:46:00,2.554,0.124,240.71,10.6,2.468,2.46,3.504,Week1,Day1
108,1/1/2007,1:47:00,2.552,0.124,240.74,10.6,2.44,2.448,3.502,Week1,Day1
109,1/1/2007,1:48:00,2.55,0.124,240.66,10.6,2.442,2.374,3.498,Week1,Day1
110,1/1/2007,1:49:00,2.548,0.124,240.6,10.6,2.45,2.38,3.406,Week1,Day1
111,1/1/2007,1:50:00,2.552,0.124,240.8,10.6,2.458,2.452,3.398,Week1,Day1
112,1/1/2007,1:51:00,2.548,0.122,240.56,10.6,2.468,2.454,3.38,Week1,Day1
113,1/1/2007,1:52:00,2.502,0.048,240.89,10.4,2.444,2.448,3.39,Week1,Day1
114,1/1/2007,1:53:00,2.466,0,241.03,10.2,2.444,2.45,3.406,Week1,Day1
115,1/1/2007,1:54:00,2.48,0,241.77,10.2,2.442,2.448,3.442,Week1,Day1
116,1/1/2007,1:55:00,2.474,0,241.46,10.2,2.448,2.45,3.444,Week1,Day1
117,1/1/2007,1:56:00,2.47,0,241.28,10.2,2.438,2.456,3.504,Week1,Day1
118,1/1/2007,1:57:00,2.464,0,240.93,10.2,2.432,2.444,3.506,Week1,Day1
119,1/1/2007,1:58:00,2.45,0,240.24,10.2,2.448,2.438,3.5,Week1,Day1
120,1/1/2007,1:59:00,2.496,0,239.61,10.4,2.446,2.372,3.498,Week1,Day1
121,1/1/2007,2:00:00,2.504,0.088,239.26,10.4,2.45,2.366,3.512,Week1,Day1
122,1/1/2007,2:01:00,2.54,0.096,241.07,10.4,2.53,2.362,3.514,Week1,Day1
123,1/1/2007,2:02:00,2.568,0.102,242.48,10.6,2.554,2.364,3.51,Week1,Day1
124,1/1/2007,2:03:00,2.566,0.102,242.42,10.6,2.536,2.376,3.522,Week1,Day1
125,1/1/2007,2:04:00,2.574,0.106,242.95,10.6,2.538,2.394,3.506,Week1,Day1
126,1/1/2007,2:05:00,2.582,0.108,243.38,10.6,2.536,2.392,3.434,Week1,Day1
127,1/1/2007,2:06:00,2.576,0.106,243.17,10.6,2.534,2.398,3.44,Week1,Day1
128,1/1/2007,2:07:00,2.556,0.082,242.89,10.4,2.522,2.4,3.442,Week1,Day1
129,1/1/2007,2:08:00,2.502,0,242.94,10.2,2.526,2.388,3.458,Week1,Day1
130,1/1/2007,2:09:00,2.514,0,243.57,10.2,2.532,2.4,3.456,Week1,Day1
131,1/1/2007,2:10:00,2.508,0,243.28,10.2,2.528,2.422,3.452,Week1,Day1
132,1/1/2007,2:11:00,2.52,0,243.91,10.2,2.51,2.49,3.458,Week1,Day1
133,1/1/2007,2:12:00,2.518,0,243.76,10.2,2.474,2.476,3.5,Week1,Day1
134,1/1/2007,2:13:00,2.518,0,243.81,10.2,2.462,2.48,3.538,Week1,Day1
135,1/1/2007,2:14:00,2.514,0,243.57,10.2,2.46,2.478,3.54,Week1,Day1
136,1/1/2007,2:15:00,2.54,0,243.32,10.4,2.448,2.488,3.526,Week1,Day1
137,1/1/2007,2:16:00,2.608,0.134,242.76,10.6,2.374,2.484,3.542,Week1,Day1
138,1/1/2007,2:17:00,2.622,0.14,243.66,10.6,2.38,2.492,3.558,Week1,Day1
139,1/1/2007,2:18:00,2.618,0.138,243.64,10.6,2.452,2.494,3.542,Week1,Day1
140,1/1/2007,2:19:00,2.618,0.138,243.72,10.6,2.454,2.484,3.528,Week1,Day1
141,1/1/2007,2:20:00,2.624,0.142,244.15,10.6,2.448,2.472,3.512,Week1,Day1
142,1/1/2007,2:21:00,2.632,0.144,244.6,10.6,2.45,2.466,3.502,Week1,Day1
143,1/1/2007,2:22:00,2.63,0.144,244.5,10.6,2.448,2.47,3.49,Week1,Day1
144,1/1/2007,2:23:00,2.622,0.142,244.22,10.6,2.45,2.476,3.486,Week1,Day1
145,1/1/2007,2:24:00,2.614,0.14,243.88,10.6,2.456,2.482,3.468,Week1,Day1
146,1/1/2007,2:25:00,2.596,0.136,242.97,10.6,2.444,2.436,3.482,Week1,Day1
147,1/1/2007,2:26:00,2.598,0.136,243.07,10.6,2.438,2.392,3.5,Week1,Day1
148,1/1/2007,2:27:00,2.584,0.132,242.45,10.6,2.372,2.388,3.48,Week1,Day1
149,1/1/2007,2:28:00,2.592,0.134,242.84,10.6,2.366,2.388,3.498,Week1,Day1
150,1/1/2007,2:29:00,2.568,0.086,243.33,10.4,2.362,2.394,3.504,Week1,Day1
151,1/1/2007,2:30:00,2.514,0,243.63,10.2,2.364,2.472,3.5,Week1,Day1
152,1/1/2007,2:31:00,2.518,0,243.79,10.2,2.376,2.474,3.484,Week1,Day1
153,1/1/2007,2:32:00,2.518,0,243.81,10.2,2.394,2.47,3.474,Week1,Day1
154,1/1/2007,2:33:00,2.522,0,244,10.2,2.392,2.454,3.482,Week1,Day1
155,1/1/2007,2:34:00,2.532,0,244.5,10.2,2.398,2.458,3.478,Week1,Day1
156,1/1/2007,2:35:00,2.542,0,244.99,10.2,2.4,2.458,2.916,Week1,Day1
157,1/1/2007,2:36:00,2.532,0,244.47,10.2,2.388,2.45,2.498,Week1,Day1
158,1/1/2007,2:37:00,2.504,0,242.98,10.2,2.4,2.454,2.51,Week1,Day1
159,1/1/2007,2:38:00,2.498,0,242.78,10.2,2.422,2.454,2.506,Week1,Day1
160,1/1/2007,2:39:00,2.5,0,242.86,10.2,2.49,2.394,2.482,Week1,Day1
161,1/1/2007,2:40:00,2.57,0.084,242.49,10.6,2.476,2.394,2.5,Week1,Day1
162,1/1/2007,2:41:00,2.568,0.104,242.6,10.6,2.48,2.384,2.484,Week1,Day1
163,1/1/2007,2:42:00,2.576,0.104,242.96,10.6,2.478,2.37,2.47,Week1,Day1
164,1/1/2007,2:43:00,2.574,0.104,242.85,10.6,2.488,2.368,2.442,Week1,Day1
165,1/1/2007,2:44:00,2.614,0.15,242.46,10.8,2.484,2.362,2.6,Week1,Day1
166,1/1/2007,2:45:00,2.654,0.23,242.87,10.8,2.492,2.364,2.746,Week1,Day1
167,1/1/2007,2:46:00,2.67,0.234,243.73,11,2.494,2.362,2.314,Week1,Day1
168,1/1/2007,2:47:00,2.666,0.236,243.71,11,2.484,2.364,2.28,Week1,Day1
169,1/1/2007,2:48:00,2.624,0.18,243.2,10.8,2.472,2.388,2.284,Week1,Day1
170,1/1/2007,2:49:00,2.58,0.122,242.69,10.6,2.466,2.456,2.29,Week1,Day1
171,1/1/2007,2:50:00,2.586,0.124,243.02,10.6,2.47,2.444,2.376,Week1,Day1
172,1/1/2007,2:51:00,2.592,0.126,243.29,10.6,2.476,2.45,2.42,Week1,Day1
173,1/1/2007,2:52:00,2.588,0.124,243.1,10.6,2.482,2.46,2.414,Week1,Day1
174,1/1/2007,2:53:00,2.692,0.242,243.15,11,2.436,2.468,2.416,Week1,Day1
175,1/1/2007,2:54:00,2.696,0.264,243.15,11,2.392,2.464,2.394,Week1,Day1
176,1/1/2007,2:55:00,2.69,0.262,243.11,11,2.388,2.464,2.472,Week1,Day1
177,1/1/2007,2:56:00,2.694,0.264,243.46,11,2.388,2.456,2.614,Week1,Day1
178,1/1/2007,2:57:00,2.68,0.26,242.82,11,2.394,2.44,2.616,Week1,Day1
179,1/1/2007,2:58:00,2.666,0.256,242.23,11,2.472,2.448,2.64,Week1,Day1
180,1/1/2007,2:59:00,2.654,0.254,241.74,11,2.474,2.46,2.634,Week1,Day1
181,1/1/2007,3:00:00,2.648,0.254,241.63,11,2.47,3.504,2.63,Week1,Day1
182,1/1/2007,3:01:00,2.666,0.26,242.65,11,2.454,3.502,2.644,Week1,Day1
183,1/1/2007,3:02:00,2.672,0.262,242.96,11,2.458,3.498,2.648,Week1,Day1
184,1/1/2007,3:03:00,2.67,0.262,242.97,11,2.458,3.406,2.636,Week1,Day1
185,1/1/2007,3:04:00,2.672,0.262,243.18,11,2.45,3.398,2.616,Week1,Day1
186,1/1/2007,3:05:00,2.666,0.262,242.91,11,2.454,3.38,2.542,Week1,Day1
187,1/1/2007,3:06:00,2.662,0.246,243.29,11,2.454,3.39,2.542,Week1,Day1
188,1/1/2007,3:07:00,2.58,0.126,243.28,10.6,2.394,3.406,2.546,Week1,Day1
189,1/1/2007,3:08:00,2.57,0.122,242.8,10.6,2.394,3.442,2.55,Week1,Day1
190,1/1/2007,3:09:00,2.57,0.122,242.81,10.6,2.384,3.444,2.538,Week1,Day1
191,1/1/2007,3:10:00,2.568,0.122,242.72,10.6,2.37,3.504,2.54,Week1,Day1
192,1/1/2007,3:11:00,2.58,0.126,243.34,10.6,2.368,3.506,2.536,Week1,Day1
193,1/1/2007,3:12:00,2.558,0.07,243.87,10.4,2.362,3.5,2.544,Week1,Day1
194,1/1/2007,3:13:00,2.522,0,244.02,10.2,2.364,3.498,2.598,Week1,Day1
195,1/1/2007,3:14:00,2.52,0,243.85,10.2,2.362,3.512,2.612,Week1,Day1
196,1/1/2007,3:15:00,2.506,0,243.2,10.2,2.364,3.514,2.614,Week1,Day1
197,1/1/2007,3:16:00,2.532,0,242.76,10.4,2.388,3.51,2.602,Week1,Day1
198,1/1/2007,3:17:00,2.55,0,242.82,10.4,2.456,3.522,2.6,Week1,Day1
199,1/1/2007,3:18:00,2.54,0,243.04,10.4,2.444,3.506,2.592,Week1,Day1
200,1/1/2007,3:19:00,2.764,0,242.39,11.4,2.45,3.434,2.602,Week1,Day1
201,1/1/2007,3:20:00,2.7,0,243,11,2.46,3.44,2.6,Week1,Day1
202,1/1/2007,3:21:00,2.8,0.114,243.66,11.4,2.468,3.442,2.602,Week1,Day1
203,1/1/2007,3:22:00,2.54,0.118,244.16,10.4,2.464,3.458,2.512,Week1,Day1
204,1/1/2007,3:23:00,2.548,0.12,244.56,10.4,2.464,3.456,2.512,Week1,Day1
205,1/1/2007,3:24:00,2.554,0.122,244.86,10.4,2.456,3.452,2.498,Week1,Day1
206,1/1/2007,3:25:00,2.558,0.122,245.07,10.4,2.44,3.458,2.508,Week1,Day1
207,1/1/2007,3:26:00,2.542,0.12,244.39,10.4,2.448,3.5,2.522,Week1,Day1
208,1/1/2007,3:27:00,2.536,0.118,244.06,10.4,2.46,3.538,2.51,Week1,Day1
209,1/1/2007,3:28:00,2.534,0.118,244.01,10.4,3.504,3.54,2.594,Week1,Day1
210,1/1/2007,3:29:00,2.468,0,243.43,10,3.502,3.526,2.608,Week1,Day1
211,1/1/2007,3:30:00,2.522,0.088,243.08,10.4,3.498,3.542,2.602,Week1,Day1
212,1/1/2007,3:31:00,2.556,0.144,243.12,10.4,3.406,3.558,2.596,Week1,Day1
213,1/1/2007,3:32:00,2.536,0.14,242.36,10.4,3.398,3.542,2.602,Week1,Day1
214,1/1/2007,3:33:00,2.532,0.14,242.17,10.4,3.38,3.528,2.596,Week1,Day1
215,1/1/2007,3:34:00,2.536,0.142,242.55,10.4,3.39,3.512,2.594,Week1,Day1
216,1/1/2007,3:35:00,2.534,0.142,242.57,10.4,3.406,3.502,2.614,Week1,Day1
217,1/1/2007,3:36:00,2.538,0.144,242.78,10.4,3.442,3.49,2.618,Week1,Day1
218,1/1/2007,3:37:00,2.538,0.144,242.89,10.4,3.444,3.486,2.618,Week1,Day1
219,1/1/2007,3:38:00,2.54,0.144,243,10.4,3.504,3.468,2.62,Week1,Day1
220,1/1/2007,3:39:00,2.54,0.144,243.07,10.4,3.506,3.482,2.624,Week1,Day1
221,1/1/2007,3:40:00,2.546,0.146,243.43,10.4,3.5,3.5,2.636,Week1,Day1
222,1/1/2007,3:41:00,2.55,0.148,243.66,10.4,3.498,3.48,2.624,Week1,Day1
223,1/1/2007,3:42:00,2.542,0.146,243.25,10.4,3.512,3.498,2.6,Week1,Day1
224,1/1/2007,3:43:00,2.544,0.146,243.39,10.4,3.514,3.504,2.518,Week1,Day1
225,1/1/2007,3:44:00,2.466,0,243.8,10,3.51,3.5,2.532,Week1,Day1
226,1/1/2007,3:45:00,2.45,0,243.29,10,3.522,3.484,2.536,Week1,Day1
227,1/1/2007,3:46:00,2.446,0,243.18,10,3.506,3.474,2.54,Week1,Day1
228,1/1/2007,3:47:00,2.456,0,243.63,10,3.434,3.482,2.542,Week1,Day1
229,1/1/2007,3:48:00,2.46,0,243.77,10,3.44,3.478,2.526,Week1,Day1
230,1/1/2007,3:49:00,2.448,0,243.18,10,3.442,2.916,2.52,Week1,Day1
231,1/1/2007,3:50:00,2.458,0,243.66,10,3.458,2.498,2.52,Week1,Day1
232,1/1/2007,3:51:00,2.456,0,243.61,10,3.456,2.51,2.532,Week1,Day1
233,1/1/2007,3:52:00,2.452,0,243.44,10,3.452,2.506,2.564,Week1,Day1
234,1/1/2007,3:53:00,2.448,0,243.18,10,3.458,2.482,2.596,Week1,Day1
235,1/1/2007,3:54:00,2.45,0,243.18,10,3.5,2.5,2.604,Week1,Day1
236,1/1/2007,3:55:00,2.45,0,243.21,10,3.538,2.484,2.594,Week1,Day1
237,1/1/2007,3:56:00,2.456,0,243.49,10,3.54,2.47,2.59,Week1,Day1
238,1/1/2007,3:57:00,2.43,0,243.19,10,3.526,2.442,2.602,Week1,Day1
239,1/1/2007,3:58:00,2.42,0,242.99,9.8,3.542,2.6,2.608,Week1,Day1
240,1/1/2007,3:59:00,2.404,0,242.13,9.8,3.558,2.746,2.612,Week1,Day1
241,1/1/2007,4:00:00,2.4,0,241.96,9.8,3.542,2.314,2.598,Week1,Day1
242,1/1/2007,4:01:00,2.416,0,241.47,10,3.528,2.28,2.544,Week1,Day1
243,1/1/2007,4:02:00,2.476,0.102,241.91,10.2,3.512,2.284,2.524,Week1,Day1
244,1/1/2007,4:03:00,2.474,0.102,241.91,10.2,3.502,2.29,2.522,Week1,Day1
245,1/1/2007,4:04:00,2.482,0.104,242.2,10.2,3.49,2.376,2.534,Week1,Day1
246,1/1/2007,4:05:00,2.484,0.104,242.38,10.2,3.486,2.42,2.528,Week1,Day1
247,1/1/2007,4:06:00,2.474,0.102,241.96,10.2,3.468,2.414,2.608,Week1,Day1
248,1/1/2007,4:07:00,2.474,0.102,242,10.2,3.482,2.416,2.624,Week1,Day1
249,1/1/2007,4:08:00,2.58,0.232,241.31,10.6,3.5,2.394,2.616,Week1,Day1
250,1/1/2007,4:09:00,2.574,0.224,242.23,10.6,3.48,2.472,2.58,Week1,Day1
251,1/1/2007,4:10:00,2.518,0.136,242.68,10.4,3.498,2.614,2.572,Week1,Day1
252,1/1/2007,4:11:00,2.522,0.138,242.99,10.4,3.504,2.616,2.566,Week1,Day1
253,1/1/2007,4:12:00,2.498,0.132,241.8,10.2,3.5,2.64,2.57,Week1,Day1
254,1/1/2007,4:13:00,2.496,0.132,241.82,10.2,3.484,2.634,2.57,Week1,Day1
255,1/1/2007,4:14:00,2.496,0.132,241.89,10.2,3.474,2.63,2.566,Week1,Day1
256,1/1/2007,4:15:00,2.486,0.13,241.44,10.2,3.482,2.644,2.504,Week1,Day1
257,1/1/2007,4:16:00,2.488,0.13,241.57,10.2,3.478,2.648,2.474,Week1,Day1
258,1/1/2007,4:17:00,2.48,0.128,241.15,10.2,2.916,2.636,2.456,Week1,Day1
259,1/1/2007,4:18:00,2.488,0.132,241.67,10.2,2.498,2.616,2.448,Week1,Day1
260,1/1/2007,4:19:00,2.49,0.132,241.78,10.2,2.51,2.542,2.446,Week1,Day1
261,1/1/2007,4:20:00,2.484,0.13,241.53,10.2,2.506,2.542,2.452,Week1,Day1
262,1/1/2007,4:21:00,2.464,0.104,241.34,10.2,2.482,2.546,2.452,Week1,Day1
263,1/1/2007,4:22:00,2.398,0,241.79,9.8,2.5,2.55,2.452,Week1,Day1
264,1/1/2007,4:23:00,2.392,0,241.48,9.8,2.484,2.538,2.444,Week1,Day1
265,1/1/2007,4:24:00,2.406,0,242.25,9.8,2.47,2.54,2.444,Week1,Day1
266,1/1/2007,4:25:00,2.398,0,241.76,9.8,2.442,2.536,2.462,Week1,Day1
267,1/1/2007,4:26:00,2.398,0,241.83,9.8,2.6,2.544,2.51,Week1,Day1
268,1/1/2007,4:27:00,2.398,0,240.61,9.8,2.746,2.598,2.546,Week1,Day1
269,1/1/2007,4:28:00,2.402,0,240.97,9.8,2.314,2.612,2.548,Week1,Day1
270,1/1/2007,4:29:00,2.406,0,242,9.8,2.28,2.614,2.548,Week1,Day1
271,1/1/2007,4:30:00,2.412,0,242.56,9.8,2.284,2.602,2.552,Week1,Day1
272,1/1/2007,4:31:00,2.42,0,243.02,9.8,2.29,2.6,2.544,Week1,Day1
273,1/1/2007,4:32:00,2.418,0,242.87,9.8,2.376,2.592,2.538,Week1,Day1
274,1/1/2007,4:33:00,2.422,0,243.13,9.8,2.42,2.602,2.548,Week1,Day1
275,1/1/2007,4:34:00,2.418,0,242.87,9.8,2.414,2.6,2.554,Week1,Day1
276,1/1/2007,4:35:00,2.416,0,242.76,9.8,2.416,2.602,2.552,Week1,Day1
277,1/1/2007,4:36:00,2.42,0,243.04,9.8,2.394,2.512,2.55,Week1,Day1
278,1/1/2007,4:37:00,2.424,0,243.24,9.8,2.472,2.512,2.548,Week1,Day1
